nomination_id,year,award,name,is_winner,movie
1416,2015,Best New Director, Requisitos para ser una persona normal,Nominated,Leticia Dolera
1417,2015,Best New Director, Techo y comida,Nominated,Juan Miguel del Castillo
1418,2015,Best Animated Film,,Winner,Capture the Flag
1419,2015,Best Animated Film,,Nominated,Meñique y el espejo mágico
1420,2015,Best Animated Film,,Nominated,Holy Night! Noche ¿de paz?
1421,2015,Best Animated Film,,Nominated,Yoko eta lagunak (Yoko y sus amigos)
1422,2016,Best Film,,Winner,The Fury of a Patient Man
1423,2016,Best Film,,Nominated,Smoke & Mirrors
1424,2016,Best Film,,Nominated,Julieta
1425,2016,Best Film,,Nominated,Que Dios nos perdone
1426,2016,Best Film,,Nominated,A Monster Calls
1427,2016,Best Director,J. A. Bayona,Winner, A Monster Calls
1428,2016,Best Director,Pedro Almodóvar,Nominated, Julieta
1429,2016,Best Director,Alberto Rodríguez,Nominated, Smoke & Mirrors
1430,2016,Best Director,Rodrigo Sorogoyen,Nominated, Que Dios nos perdone
1431,2016,Best Actor,Roberto Álamo,Winner, Que Dios nos perdone
1432,2016,Best Actor,Luis Callejo,Nominated, The Fury of a Patient Man
1433,2016,Best Actor,Antonio de la Torre,Nominated, The Fury of a Patient Man
1434,2016,Best Actor,Eduard Fernández,Nominated, Smoke & Mirrors
1435,2016,Best Actress,Emma Suárez,Winner, Julieta
1436,2016,Best Actress,Penélope Cruz,Nominated, The Queen of Spain
1437,2016,Best Actress,Bárbara Lennie,Nominated, María (y los demás)
1438,2016,Best Actress,Carmen Machi,Nominated, La puerta abierta
1439,2016,Best Supporting Actor,Manolo Solo,Winner, The Fury of a Patient Man
1440,2016,Best Supporting Actor,Karra Elejalde,Nominated, 100 metros
1441,2016,Best Supporting Actor,Javier Gutiérrez,Nominated, The Olive Tree
1442,2016,Best Supporting Actor,Javier Pereira,Nominated, Que Dios nos perdone
1443,2016,Best Supporting Actress,Emma Suárez,Winner, La próxima piel
1444,2016,Best Supporting Actress,Terele Pávez,Nominated, La puerta abierta
1445,2016,Best Supporting Actress,Candela Peña,Nominated," Kiki, el amor se hace"
1446,2016,Best Supporting Actress,Sigourney Weaver,Nominated, A Monster Calls
1447,2016,Best New Actor,Carlos Santos,Winner, Smoke & Mirrors
1448,2016,Best New Actor,Rodrigo de la Serna,Nominated, To Steal from a Thief
1449,2016,Best New Actor,Ricardo Gómez,Nominated, 1898. Los últimos de Filipinas
1450,2016,Best New Actor,Raúl Jiménez,Nominated, The Fury of a Patient Man
1451,2016,Best New Actress,Anna Castillo,Winner, The Olive Tree
1452,2016,Best New Actress,Belén Cuesta,Nominated," Kiki, el amor se hace"
1453,2016,Best New Actress,Ruth Díaz,Nominated, The Fury of a Patient Man
1454,2016,Best New Actress,Sílvia Pérez Cruz,Nominated, Cerca de tu casa
1455,2016,Best Original Screenplay, Raúl Arévalo & David Pulido,Winner,The Fury of a Patient Man
1456,2016,Best Original Screenplay, Jorge Guerricaechevarría,Nominated,To Steal from a Thief
1457,2016,Best Original Screenplay, Paul Laverty,Nominated,The Olive Tree
1458,2016,Best Original Screenplay, Isabel Peña & Rodrigo Sorogoyen,Nominated,Que Dios nos perdone
1459,2016,Best Adapted Screenplay, Alberto Rodríguez & Rafael Cobos,Winner,Smoke & Mirrors
1460,2016,Best Adapted Screenplay, Pedro Almodóvar,Nominated,Julieta
1461,2016,Best Adapted Screenplay, Paco León & Fernando Pérez,Nominated,"Kiki, el amor se hace"
1462,2016,Best Adapted Screenplay, Patrick Ness,Nominated,A Monster Calls
1463,2016,Best Spanish Language Foreign Film,Argentina,Winner,The Distinguished Citizen 
1464,2016,Best Spanish Language Foreign Film,Colombia,Nominated,Anna 
1465,2016,Best Spanish Language Foreign Film,Venezuela,Nominated,From Afar 
1466,2016,Best Spanish Language Foreign Film,Mexico,Nominated,The Chosen Ones 
1467,2016,Best European Film,France/Germany/Belgium,Winner,Elle 
1468,2016,Best European Film,UK/United States,Nominated,Genius 
1469,2016,Best European Film,Hungary,Nominated,Son of Saul 
1470,2016,Best European Film,UK/France/Belgium,Nominated,"I, Daniel Blake "
1471,2016,Best New Director, The Fury of a Patient Man,Winner,Raúl Arévalo
1472,2016,Best New Director, 1898. Los últimos de Filipinas,Nominated,Salvador Calvo
1473,2016,Best New Director, El rey tuerto,Nominated,Marc Crehuet
1474,2016,Best New Director, María (y los demás),Nominated,Nely Reguera
1475,2016,Best Animated Film,,Winner,Psiconautas. Los niños olvidados
1476,2016,Best Animated Film,,Nominated,Ozzy
1477,2016,Best Animated Film,,Nominated,Teresa eta Galtzagorri (Teresa y Tim)
